id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,M,1.4875,1.1,0.425,37.15201975,17.33571925,8.46232575,8.9300925,9.0
1,M,1.525,1.175,0.425,29.15746075,12.06271225,6.98815175,8.9300925,9.0
2,I,1.3375,1.0,0.3,16.42853525,7.030676,3.89805625,4.9611625,8.0
3,I,0.75,0.55,0.1625,3.67126025,1.474174,0.94970825,0.9922325,5.0
4,M,1.475,1.1875,0.3875,31.3261975,13.324265,6.76135575,7.7961125,10.0
5,M,0.9125,0.675,0.2125,6.30776375,2.67902775,1.31825175,1.7860185,6.0
6,F,1.5625,1.1875,0.425,30.40483875,13.65028425,6.76135575,8.221355,14.0
7,M,1.35,1.025,0.3375,20.41164,8.66077225,4.01145425,6.9456275,16.0
8,M,1.4375,1.125,0.3875,25.7696955,10.21999475,6.22271525,7.49844275,10.0
9,M,1.3375,1.05,0.3875,24.437269,10.6877615,4.706017,5.03203625,8.0
10,M,1.5625,1.225,0.4,34.529691,16.386011,8.29222875,8.6465975,9.0
11,M,1.625,1.2375,0.4875,36.27318525,18.5122235,8.29222875,8.9300925,9.0
12,I,0.8,0.625,0.1875,5.3013565,2.0128145,1.00640725,1.13398,6.0
13,M,1.6,1.2,0.3875,27.45649075,11.169703,7.10154975,8.0796075,12.0
14,M,1.55,1.25,0.4375,42.807745,12.34620725,8.71747125,13.31009025,20.0
15,F,1.375,1.0625,0.375,23.7285315,12.51630425,4.97533725,6.520385,9.0
16,M,1.5625,1.2375,0.4,32.98464325,14.288148,7.7961125,8.6465975,10.0
17,M,1.2125,0.975,0.3,18.824068,8.0796075,3.86970675,5.10291,10.0
18,F,1.7,1.3125,0.475,43.318036,17.33571925,9.128539,11.056305,10.0
19,I,1.0125,0.75,0.25,8.618248,4.1106775,1.7293195,2.26796,8.0
20,I,0.9375,0.7125,0.2125,6.59125875,3.005047,1.190679,1.5592225,7.0
21,I,0.875,0.6625,0.225,5.88252125,2.211261,1.6159215,1.927766,6.0
22,M,1.25,1.025,0.3125,18.257078,7.98038425,4.63514325,5.2446575,7.0
23,M,1.0,0.775,0.2625,8.40562675,3.44446425,1.31825175,2.9766975,10.0
24,F,1.3125,1.025,0.4,21.36134825,8.83086925,4.40834725,6.520385,10.0
25,I,1.0,0.725,0.25,7.144074,3.3168915,1.7293195,2.1262125,7.0
26,I,1.2125,0.925,0.3125,15.3937785,6.05261825,3.7137845,4.3941725,9.0
27,F,1.4375,1.1,0.375,24.777463,10.33339275,5.76912325,7.087375,9.0
28,M,1.5,1.15,0.4,31.808139,14.6566915,7.10154975,8.221355,9.0
29,M,1.375,1.075,0.3625,21.50309575,8.88756825,4.06815325,6.520385,10.0
30,F,1.4875,1.15,0.3625,24.8058125,11.35397475,5.23048275,7.37087,10.0
31,M,1.2875,0.975,0.3125,19.17843675,8.051258,3.72795925,4.7910655,8.0
32,I,1.025,0.7875,0.25,8.958442,3.55786225,1.77184375,2.551455,10.0
33,F,1.5625,1.2375,0.4,31.79396425,14.04717725,7.6827145,8.9300925,9.0
34,M,1.2125,0.9625,0.325,17.08057375,7.93786,4.89028875,5.953395,10.0
35,M,1.575,1.2625,0.4625,36.740952,18.07280625,8.4198015,9.4970825,11.0
36,M,1.2875,1.0,0.375,20.19901875,7.93786,4.01145425,6.80388,12.0
37,M,1.675,1.325,0.45,42.82191975,19.0225145,7.47009325,12.190285,12.0
38,M,1.2875,0.975,0.325,17.08057375,7.81028725,4.422522,5.10291,10.0
39,I,1.1875,0.9,0.3,13.33843975,6.2085405,2.8066005,3.5436875,8.0
40,I,1.3,1.05,0.325,24.47979325,12.91319725,4.706017,5.6699,8.0
41,M,1.1625,0.875,0.3,12.34620725,5.6699,2.50893075,3.5436875,6.0
42,F,1.6125,1.275,0.475,45.20327775,15.35125425,9.015141,16.44271,20.0
43,F,1.5625,1.225,0.3875,36.27318525,16.3009625,8.561549,9.00096625,11.0
44,F,1.5625,1.25,0.4625,31.9498865,13.551061,6.4353365,11.056305,15.0
45,I,0.9,0.6625,0.2125,5.5848515,2.0128145,1.17650425,1.70097,6.0
46,I,1.425,1.0875,0.375,23.700182,11.396499,3.86970675,6.9456275,9.0
47,F,1.55,1.175,0.3875,30.5891105,15.26620575,7.10154975,7.93786,11.0
48,M,1.3,1.0,0.325,19.83047525,7.087375,4.72019175,5.10291,10.0
49,I,0.6875,0.5,0.1625,3.07592075,1.28990225,0.66621325,0.8788345,7.0
50,M,1.7,1.375,0.4875,47.95317925,19.0225145,10.70193625,13.324265,12.0
51,M,1.425,1.125,0.3625,22.1976585,9.51125725,4.989512,6.3786375,9.0
52,M,1.7625,1.375,0.475,44.94813225,18.9091165,10.375917,13.1825175,14.0
53,I,0.8625,0.6375,0.2125,5.8683465,2.19708625,1.51669825,1.70097,7.0
54,I,0.8,0.625,0.1375,4.20990075,1.587572,0.7654365,1.417475,8.0
55,I,1.0,0.8125,0.25,9.19941275,4.0539785,1.80019325,2.6932025,7.0
56,M,1.125,0.875,0.3,15.12445825,7.93786,2.9766975,4.1106775,8.0
57,I,1.425,1.125,0.3875,23.88445375,10.9712565,4.97533725,6.23689,9.0
58,M,1.3,1.075,0.325,22.52367775,9.979024,5.82582225,6.3786375,9.0
59,I,0.6125,0.4625,0.1625,2.097863,0.793786,0.396893,0.63786375,3.0
60,M,1.4375,1.175,0.3875,27.839209,9.25611175,5.0745605,9.7805775,17.0
61,F,1.325,1.0625,0.375,20.14231975,8.68912175,4.422522,5.556502,8.0
62,M,1.225,0.95,0.3625,18.80989325,7.257472,3.9405805,5.8116475,9.0
63,M,1.125,0.875,0.3375,14.69921575,6.2652395,3.1467945,3.8271825,12.0
64,I,1.3125,1.0,0.3,15.12445825,6.67630725,3.10427025,4.3941725,8.0
65,F,1.45,1.125,0.375,28.10852925,11.75086775,5.5281525,6.6621325,17.0
66,I,1.375,1.05,0.375,28.803092,15.35125425,5.1312595,6.0951425,9.0
67,F,1.2875,0.9875,0.3125,17.84601025,7.7394135,3.912231,5.10291,8.0
68,M,1.525,1.225,0.375,36.35823375,14.6566915,8.71747125,10.30504325,19.0
69,F,1.5375,1.1625,0.4125,29.596878,14.33067225,6.4353365,7.2291225,9.0
70,M,1.3125,1.025,0.4,18.38465075,8.46232575,4.819415,5.10291,9.0
71,M,1.35,1.0875,0.4,24.720764,11.623295,5.17378375,6.633783,9.0
72,F,1.175,0.8875,0.3,16.42853525,6.67630725,3.58621175,5.2446575,9.0
73,M,1.4375,1.125,0.375,28.81726675,14.50076925,6.98815175,6.87475375,11.0
74,I,0.6375,0.4625,0.1625,2.05533875,0.8788345,0.58116475,0.7087375,5.0
75,F,1.425,1.125,0.3875,27.78251,15.1102835,4.139027,6.3786375,9.0
76,M,1.525,1.1625,0.3875,28.973189,12.6722265,6.50621025,8.6465975,12.0
77,M,1.65,1.3375,0.4625,41.7588135,17.4349425,6.90310325,12.40290625,12.0
78,M,1.4,1.0625,0.4,23.09066775,9.6671795,5.14543425,6.9456275,9.0
79,I,1.1125,0.825,0.25,13.90542975,5.6982495,3.005047,3.40194,8.0
